from,to,action
"K10159","H00344","polymorphism"
"K02161","H00005","overexpression"
"K09317","H01160",unknown
"K05151","H00088",unknown
"K04729","H02434","mutation"
"K22764","H00454",unknown
"K20188","H00166",unknown
"K23845","H00936",unknown
"K23879","H00078",unknown
"K06637","H01288",unknown
"K05853","H00715",unknown
"K09236","H02115",unknown
"K17291","H00605",unknown
"K19604","H00527",unknown
"K06095","H01677",unknown
"K08553","H00605",unknown
"K08202","H00525",unknown
"K17455","H00527",unknown
"K04362","H01850",unknown
"K09512","H00593",unknown
"K10354","H00701",unknown
"K00922","H01102",unknown
"K04200","H00256",unknown
"K15759","H02306",unknown
"K12473","H01383",unknown
"K08024","H00409","polymorphism"
"K11778","H00118",unknown
"K05092","H00003","mutation"
"K22764","H00530",unknown
"K16481","H00991",unknown
"K10136","H02517",unknown
"K13241","H00017","increased expression"
"K07827","H00019","mutation"
"K04973","H00856",unknown
"K01481","H02335",unknown
"K01320","H02256",unknown
"K03905","H00222",unknown
"K08860","H00512",unknown
"K18178","H01200",unknown
"K01283","H00575",unknown
"K05119","H00043",unknown
"K01074","H00149",unknown
"K05125","H00777",unknown
"K00650","H00158",unknown
"K17307","H00459",unknown
"K08670","H00734",unknown
"K01948","H00164",unknown
"K16464","H02135",unknown
"K08031","H01114",unknown
"K05948","H00517",unknown
"K14007","H01572",unknown
"K22628","H01357","polymorphism"
"K25454","H00550",unknown
"K04451","H01554","overexpression"
"K05012","H02149",unknown
"K09267","H02038",unknown
"K24430","H00900",unknown
"K08627","H00225",unknown
"K08032","H01224",unknown
"K03434","H01489",unknown
"K09446","H01227",unknown
"K08550","H01730",unknown
"K06476","H01740",unknown
"K09209","H00410",unknown
"K04960","H00408","polymorphism"
"K15707","H02101",unknown
"K09540","H00545",unknown
"K04825","H00892",unknown
"K21027","H01367",unknown
"K25004","H01552","maternal polymorphism"
"K08423","H01483",unknown
"K09371","H00464",unknown
"K01539","H02272",unknown
"K08034","H00541",unknown
"K04451","H00018","mutation"
"K22117","H02544",unknown
"K00922","H02153",unknown
"K00626","H01076",unknown
"K13365","H00888",unknown
"K09608","H00546",unknown
"K08828","H00972",unknown
"K05231","H02106",unknown
"K10809","H00251",unknown
"K07604","H02263",unknown
"K08055","H02434","mutation/deletion"
"K22865","H02157",unknown
"K00734","H01494",unknown
"K10154","H00611",unknown
"K22382","H02337",unknown
"K17631","H00773",unknown
"K12866","H01195",unknown
"K05164","H01109",unknown
"K08653","H02462",unknown
"K10387","H00644",unknown
"K03900","H00219",unknown
"K09881","H00469",unknown
"K19721","H02079",unknown
"K09345","H00546",unknown
"K07298","H00019","germline mutation"
"K05240","H00255",unknown
"K24317","H02345",unknown
"K00572","H00847",unknown
"K14756","H01193",unknown
"K08560","H00598",unknown
"K05063","H00089",unknown
"K23001","H00593",unknown
