from,to,action
"K06621","H00055","mutation, LOH, hypermethylation"
"K03953","H00473",unknown
"K12307","H00149",unknown
"K07910","H00792",unknown
"K14620","H00841",unknown
"K04961","H01310",unknown
"K10779","H00045","mutation"
"K06472","H00080",unknown
"K09542","H00595",unknown
"K08528","H00013","promoter hypermethylation"
"K06796","H00639",unknown
"K04556","H00027",unknown
"K04363","H01599","deletion"
"K04973","H00522",unknown
"K01074","H02277",unknown
"K11826","H00773",unknown
"K10761","H01891",unknown
"K05132","H00342",unknown
"K06593","H00647",unknown
"K23484","H00264",unknown
"K04575","H01172",unknown
"K00962","H00891",unknown
"K02318","H00833",unknown
"K19619","H01891",unknown
"K14005","H02461",unknown
"K13667","H00944",unknown
"K19679","H00418",unknown
"K10896","H00238",unknown
"K12044","H00294",unknown
"K00922","H01387",unknown
"K07298","H00023",unknown
"K23330","H01738",unknown
"K04806","H00807",unknown
"K00318","H00190",unknown
"K10790","H00290",unknown
"K04585","H00680",unknown
"K05405","H01672","polymorphism"
"K04729","H00721",unknown
"K12160","H00516",unknown
"K04157","H01649",unknown
"K11137","H01789",unknown
"K01530","H02192",unknown
"K22868","H02157",unknown
"K04077","H00266",unknown
"K12800","H01359","polymorphism"
"K19403","H00269",unknown
"K00497","H01633",unknown
"K05410","H02536",unknown
"K14462","H02505",unknown
"K08782","H00809",unknown
"K06621","H00025","promoter hypermethylation"
"K11844","H00837",unknown
"K03111","H01020",unknown
"K13937","H01111",unknown
"K02332","H01384",unknown
"K11648","H01134",unknown
"K06573","H02002",unknown
"K03231","H00773",unknown
"K20731","H00798",unknown
"K00725","H00266",unknown
"K04505","H00056",unknown
"K02259","H01200",unknown
"K04377","H00008","translocation"
"K12567","H00294",unknown
"K04361","H00031","overexpression"
"K09253","H02526",unknown
"K06568","H02012",unknown
"K06269","H02191",unknown
"K14365","H00697",unknown
"K12013","H02120",unknown
"K22859","H00454",unknown
"K03845","H00118",unknown
"K23113","H00591",unknown
"K13338","H01342",unknown
"K02866","H02111",unknown
"K16366","H01884",unknown
"K21765","H00454",unknown
"K25226","H00418",unknown
"K04914","H01621",unknown
"K10413","H00264",unknown
"K01110","H02434","deletion"
"K21073","H01810",unknown
"K17908","H02346",unknown
"K06316","H00118",unknown
"K05749","H00606",unknown
"K12615","H00768",unknown
"K16507","H01868",unknown
"K02135","H01369",unknown
"K01132","H00421",unknown
"K13346","H01342",unknown
"K13525","H02342",unknown
"K08788","H00568",unknown
"K11296","H02170",unknown
"K25428","H00809",unknown
"K01710","H01845",unknown
"K04192","H00821",unknown
"K03995","H00103",unknown
"K20187","H00166",unknown
"K06087","H00742",unknown
"K18273","H00604",unknown
"K17924","H00436",unknown
"K01522","H00013","mutation"
"K08073","H00606",unknown
"K13293","H02211",unknown
"K05304","H02187",unknown
"K17270","H01293",unknown
"K23368","H00678",unknown
"K03068","H00589",unknown
"K01679","H01431",unknown
"K14440","H00580",unknown
"K06234","H00458",unknown
"K03156","H00084","polymorphism"
"K05310","H00768",unknown
"K01870","H02437",unknown
"K12313","H01396",unknown
"K19530","H00292",unknown
"K07293","H01018",unknown
"K05004","H00512",unknown
"K25139","H00270",unknown
"K05090","H01807",unknown
"K10366","H01964",unknown
"K03370","H00996",unknown
"K17757","H02262",unknown
"K12959","H00594",unknown
"K22028","H01219",unknown
"K09995","H00863",unknown
"K08763","H01730",unknown
"K11985","H00992",unknown
"K23442","H00615",unknown
"K09071","H01272",unknown
"K19332","H00418",unknown
"K10609","H00658",unknown
"K16220","H00100",unknown
"K17686","H00210",unknown
"K23539","H02526",unknown
"K01204","H00422",unknown
"K04954","H00606",unknown
"K01719","H01763",unknown
"K24822","H00605",unknown
"K04984","H01391",unknown
"K13699","H00736",unknown
"K05065","H01476","polymorphism"
"K04927","H00606",unknown
"K22063","H01894",unknown
"K01283","H01457","polymorphism"
"K04456","H01556","mutation"
"K11988","H00039","germline, somatic mutation"
"K08510","H00770",unknown
"K05133","H00089",unknown
"K01807","H01135",unknown
"K07873","H00842",unknown
"K04377","H01667","amplification"
"K18261","H01974",unknown
"K15436","H00593",unknown
"K14720","H01938",unknown
"K04451","H00005","mutation"
"K06997","H02250",unknown
"K06735","H01574",unknown
"K05438","H02035",unknown
"K09220","H00088",unknown
"K09275","H01927",unknown
"K13511","H00294",unknown
"K13202","H00897",unknown
"K12309","H00281",unknown
"K04377","H00036","amplification"
"K07434","H00794","gain of function"
"K02161","H00028","overexpression"
"K05443","H00630",unknown
"K01079","H02116",unknown
"K12473","H01635",unknown
"K07605","H02265",unknown
"K14361","H01016",unknown
"K20795","H01630",unknown
"K05286","H00606",unknown
"K15516","H00465",unknown
"K03211","H00003","germline mutation"
"K03097","H02460",unknown
"K11222","H00080",unknown
"K16774","H00538",unknown
"K04361","H01508","overexpression"
"K23151","H00768",unknown
"K05122","H00605",unknown
"K03121","H01439",unknown
"K07438","H00408","polymorphism"
"K02576","H00768",unknown
"K10844","H00403",unknown
"K06636","H00631",unknown
"K11220","H01109",unknown
"K04280","H00255",unknown
"K23815","H00821",unknown
"K03884","H00068",unknown
"K15412","H00104",unknown
"K17343","H00814",unknown
"K23681","H00695",unknown
"K05043","H02057",unknown
"K10142","H01196",unknown
"K07621","H00714",unknown
"K18490","H02170",unknown
"K10730","H01993",unknown
"K05032","H01267",unknown
"K16659","H01649",unknown
"K17601","H01677",unknown
"K08063","H00093",unknown
"K00473","H00980",unknown
"K08067","H00155",unknown
"K04665","H00609",unknown
"K23455","H00961",unknown
"K14610","H01183",unknown
"K14300","H01722",unknown
"K23217","H02410","mutation"
"K04386","H01492","polymorphism"
"K09299","H00960",unknown
"K14574","H00101",unknown
"K13526","H00266",unknown
"K07292","H01198",unknown
"K06237","H00581",unknown
"K03127","H00768",unknown
"K15618","H02434","mutation"
"K00611","H00187",unknown
"K20909","H00614",unknown
"K04574","H00058",unknown
"K00569","H00964",unknown
"K05099","H00605",unknown
"K12505","H00999",unknown
"K25441","H00632",unknown
"K05421","H00935",unknown
"K08171","H00069",unknown
"K24636","H02435",unknown
"K06793","H02073",unknown
"K10388","H00585",unknown
"K09028","H01463","mutation"
"K19719","H02187",unknown
"K01388","H01714",unknown
"K22870","H00530",unknown
"K23964","H01156",unknown
"K09571","H01646",unknown
"K06641","H00881",unknown
"K12641","H00294",unknown
"K00478","H00858",unknown
"K12348","H00424",unknown
"K07604","H00691",unknown
"K08956","H01351",unknown
"K04250","H00787",unknown
"K14677","H01146",unknown
"K01084","H01760",unknown
"K01867","H02461",unknown
"K12373","H02016",unknown
"K01539","H00831",unknown
"K15902","H01722",unknown
"K02208","H00606",unknown
"K23625","H00063",unknown
"K03129","H01282",unknown
"K17271","H00679",unknown
"K05482","H01516","polymorphism"
"K09348","H00024","allelic loss) (decreased expression"
"K06713","H00088",unknown
"K18186","H01368",unknown
"K09455","H00169",unknown
"K01357","H00646","nonsense mutation"
"K17231","H00251",unknown
"K05011","H02217",unknown
"K06672","H00631",unknown
"K00820","H00770",unknown
"K20071","H02541",unknown
"K23468","H02320",unknown
"K04585","H00479",unknown
"K04914","H01619",unknown
"K01745","H00171",unknown
"K07596","H00717",unknown
"K00688","H01943",unknown
"K05091","H00170",unknown
"K00071","H01709","polymorphism"
"K12800","H00604",unknown
"K03859","H00768",unknown
"K01597","H01933",unknown
"K04838","H00729",unknown
"K10398","H01876",unknown
"K14226","H01347",unknown
"K05452","H00910",unknown
"K10151","H01885",unknown
"K10847","H00403",unknown
"K23092","H02496",unknown
"K17895","H01360","polymorphism"
"K11204","H00668",unknown
"K05768","H02322",unknown
"K05080","H00254",unknown
"K18343","H02414",unknown
"K24789","H00289",unknown
"K10414","H02157",unknown
"K23733","H00564",unknown
"K04727","H02187",unknown
"K07372","H00449",unknown
"K06621","H00016","mutation, loss of expression"
"K10352","H02053",unknown
"K09446","H01492","polymorphism"
"K08550","H02061",unknown
"K00457","H00165",unknown
"K01578","H01283",unknown
"K10779","H00228",unknown
"K17079","H00469",unknown
"K08509","H00799",unknown
"K04309","H01593","polymorphism"
"K24262","H00506",unknown
"K01581","H02470",unknown
"K23878","H01404",unknown
"K04503","H01464","overexpression"
"K05669","H01002",unknown
"K03006","H02397",unknown
"K07410","H01203",unknown
"K05729","H00480",unknown
"K05055","H01968",unknown
"K10379","H01202",unknown
"K07515","H00525",unknown
"K12741","H02031",unknown
"K05690","H02474",unknown
"K18741","H01282",unknown
"K19538","H00527",unknown
"K12733","H00897",unknown
"K06030","H00264",unknown
"K06621","H00042","deletion"
"K23555","H01101",unknown
"K19401","H00418",unknown
"K12192","H00078",unknown
"K02157","H00934","methylation at the promoter region"
"K09187","H00570",unknown
"K04228","H01294",unknown
"K04451","H00019","mutation"
"K19479","H00479",unknown
"K15104","H02538",unknown
"K00604","H00891",unknown
"K24554","H01852",unknown
"K19873","H01960",unknown
"K10051","H02024",unknown
"K20630","H00633",unknown
"K07253","H01672","polymorphism"
"K10749","H00564",unknown
"K12836","H02410","mutation"
"K05043","H00208",unknown
"K12565","H00593",unknown
"K09397","H01372",unknown
"K02833","H00030","mutation"
"K08367","H00004","translocation"
"K05850","H00605",unknown
"K01084","H01939",unknown
"K04008","H00106",unknown
"K02185","H00479",unknown
"K07433","H00258",unknown
"K07605","H00717",unknown
"K08451","H01033",unknown
"K09401","H00251",unknown
"K13356","H00207",unknown
"K13965","H00737",unknown
"K04004","H01434",unknown
"K00472","H02041",unknown
"K12359","H00149",unknown
"K10570","H02131",unknown
"K19748","H00558",unknown
"K04739","H01820",unknown
"K10892","H00238",unknown
"K00807","H02284",unknown
"K04849","H00831",unknown
"K05658","H01709","polymorphism"
"K04366","H01984",unknown
"K02649","H01370",unknown
"K12383","H00124",unknown
"K04388","H00020","mutation"
"K04437","H01276",unknown
"K10841","H02131",unknown
"K09232","H00512",unknown
"K03857","H01053",unknown
"K04398","H00108",unknown
"K21876","H01282",unknown
"K04451","H00042","mutation"
"K19539","H01186",unknown
"K00750","H01744",unknown
"K06624","H01102",unknown
"K23445","H01019",unknown
"K03158","H01490",unknown
"K02259","H01368",unknown
"K15631","H00192",unknown
"K15048","H01742",unknown
"K00922","H00020",unknown
"K03883","H00068",unknown
"K00357","H00167",unknown
"K22128","H00811",unknown
"K00327","H01753",unknown
"K01689","H01762",unknown
"K19657","H00538",unknown
"K15272","H01392",unknown
"K00856","H00184",unknown
"K17592","H01170",unknown
"K23543","H00119",unknown
"K21843","H02331",unknown
"K00128","H01611","polymorphism"
"K00408","H02317",unknown
"K11538","H01279",unknown
"K01872","H02200",unknown
"K12402","H00266",unknown
"K16687","H01114",unknown
"K00710","H00020","germline mutation, somatic mutation"
"K04382","H02470",unknown
"K04345","H02506",unknown
"K01084","H00069",unknown
"K00164","H01022",unknown
"K02085","H00018","mutation"
"K06262","H00224",unknown
"K19949","H00605",unknown
"K13338","H00177",unknown
"K16455","H00530",unknown
"K13752","H00615",unknown
"K13377","H00293","mutation"
"K05292","H01053",unknown
"K04659","H00798",unknown
"K13871","H00527",unknown
"K05662","H00982",unknown
"K21290","H00848",unknown
"K20194","H00166",unknown
"K00902","H00118",unknown
"K02161","H01613","translocation"
"K00548","H01285",unknown
"K10590","H00773",unknown
"K05284","H01489",unknown
"K00968","H01821",unknown
"K01880","H00264",unknown
"K17344","H00527",unknown
"K17759","H02262",unknown
"K10384","H01358","mutation"
"K10779","H01752",unknown
"K16458","H00530",unknown
"K12641","H00420",unknown
"K03902","H01433",unknown
"K22754","H01396",unknown
"K00318","H01649",unknown
"K06664","H01342",unknown
"K02367","H00493",unknown
"K09298","H00482",unknown
"K00235","H01222",unknown
"K24932","H01282",unknown
"K05092","H02412","mutation"
"K04889","H00063",unknown
"K05494","H01109",unknown
"K23099","H01307",unknown
"K04456","H02119",unknown
"K24261","H00269",unknown
"K00831","H01082",unknown
"K05692","H00101",unknown
"K04469","H00088",unknown
"K05634","H01243",unknown
"K24030","H00564",unknown
"K04600","H00535",unknown
"K04576","H01593","polymorphism"
"K18412","H02213",unknown
"K22866","H02157",unknown
"K01796","H00407",unknown
"K00545","H01450","polymorphism"
"K03544","H01763",unknown
"K06538","H00080",unknown
"K04692","H02540",unknown
"K19926","H01897",unknown
"K11471","H02382",unknown
"K04358","H01728",unknown
"K11155","H01174",unknown
"K19875","H00595",unknown
"K17343","H00837",unknown
"K16288","H00266",unknown
"K00907","H00801",unknown
"K03903","H00845",unknown
"K01827","H00168",unknown
"K19331","H00239",unknown
"K01398","H00472",unknown
"K05641","H02505",unknown
"K13907","H00810",unknown
"K05435","H00079",unknown
"K16538","H00530",unknown
"K11648","H01403",unknown
"K00750","H01955",unknown
"K10392","H00773",unknown
"K11804","H01259",unknown
"K02832","H00768",unknown
"K25454","H00632",unknown
"K13525","H00264",unknown
"K19474","H00453",unknown
"K01679","H00021","germline loss-of-function mutation (HLPCC), LOH, somatic mutation"
"K04515","H00773",unknown
"K23441","H01466","polymorphism"
"K09068","H00002","overexpression"
"K04926","H00725",unknown
"K11420","H00907",unknown
"K01837","H00664",unknown
"K06643","H00028","overexpression"
"K01634","H01657",unknown
"K19289","H01296",unknown
"K04157","H01611","polymorphism"
"K10445","H00935",unknown
"K04247","H00599",unknown
"K01887","H00679",unknown
"K17386","H01574",unknown
"K08956","H01020",unknown
"K10065","H01887",unknown
"K06566","H00506",unknown
"K01940","H01398",unknown
"K23028","H02202",unknown
"K19608","H00503",unknown
"K05099","H00048","mutation, overexpression"
"K03941","H00473",unknown
"K16866","H00732",unknown
"K00948","H00264",unknown
"K09025","H00157",unknown
"K19719","H01529","mutation"
"K00826","H02546",unknown
"K12315","H01869",unknown
"K24225","H00632",unknown
"K06643","H00042","amplification, overexpression"
"K04451","H00016","mutation, deletion"
"K06458","H00093",unknown
"K19673","H00530",unknown
"K14020","H00409","polymorphism"
"K22524","H00605",unknown
"K07605","H00710",unknown
"K07604","H00796",unknown
"K06671","H00773",unknown
"K00236","H02538",unknown
"K06261","H00219",unknown
"K19636","H00527",unknown
"K17751","H00729",unknown
"K06493","H01740",unknown
"K03948","H01368",unknown
"K09171","H00718",unknown
"K02740","H02532",unknown
"K04996","H00725",unknown
"K12566","H00565",unknown
"K23609","H02342",unknown
"K04361","H00022","overexpression"
"K01110","H00042","mutation"
"K18175","H01368",unknown
"K23215","H02170",unknown
"K09492","H00418",unknown
"K10384","H00737",unknown
"K10374","H00702",unknown
"K19348","H01001",unknown
"K14568","H00616",unknown
"K00728","H01959",unknown
"K04355","H01450","polymorphism"
"K01059","H01784",unknown
"K05658","H01529","polymorphism"
"K19873","H02307",unknown
"K15290","H02397",unknown
"K19752","H00564",unknown
"K21989","H00679",unknown
"K14683","H00888",unknown
"K12671","H01360","polymorphism"
"K04377","H01463","amplification"
"K07588","H00174",unknown
"K11859","H02424","mutation"
"K09666","H00120",unknown
"K02354","H00589",unknown
"K04249","H01269",unknown
"K11599","H00790",unknown
"K24080","H01202",unknown
"K10175","H00549",unknown
"K04251","H00976",unknown
"K16597","H00079",unknown
"K23859","H02377",unknown
"K23933","H00063",unknown
"K19721","H02539",unknown
"K02449","H02493",unknown
"K09073","H00861",unknown
"K24437","H02456",unknown
"K12803","H00288",unknown
"K02987","H02534",unknown
"K01437","H00074",unknown
"K19638","H02169",unknown
"K05006","H00805",unknown
"K05254","H02106",unknown
"K09315","H00618",unknown
"K03372","H00266",unknown
"K11318","H00063",unknown
"K17401","H00599",unknown
"K09417","H01202",unknown
"K15185","H01569",unknown
"K05334","H00843",unknown
"K09349","H01012",unknown
"K00643","H00982",unknown
"K00939","H01282",unknown
"K15589","H01797",unknown
"K04666","H00632",unknown
"K21032","H02307",unknown
"K08734","H00027","germline mutation"
"K12405","H02095",unknown
"K00734","H02239",unknown
"K12670","H00118",unknown
"K04804","H00807",unknown
"K09220","H00978",unknown
"K02105","H00048","mutation"
"K18490","H01667","amplification"
"K17686","H00455",unknown
"K13122","H00591",unknown
"K10354","H00698",unknown
"K02883","H00237",unknown
"K24908","H01306",unknown
"K04824","H02310",unknown
"K23728","H00564",unknown
"K05666","H00208",unknown
"K24145","H01095",unknown
"K11661","H02082",unknown
"K13878","H00814",unknown
"K07965","H00753",unknown
"K07190","H01762",unknown
"K11599","H02532",unknown
"K00006","H00728",unknown
"K12321","H01768",unknown
"K03900","H01740",unknown
"K00232","H00407",unknown
"K20070","H00875",unknown
"K05071","H01358","polymorphism"
"K08220","H01036",unknown
"K09668","H02307",unknown
"K00022","H01267",unknown
"K16767","H01282",unknown
"K12672","H01360","polymorphism"
"K19754","H00564",unknown
"K04885","H00606",unknown
"K04264","H01235",unknown
"K10865","H00094",unknown
"K22428","H02141",unknown
"K07612","H01202",unknown
"K17767","H01102",unknown
"K06619","H00001","translocation"
"K05032","H00513",unknown
"K04985","H01728",unknown
"K09606","H00831",unknown
"K08147","H00919",unknown
"K16271","H00480",unknown
"K04955","H00783",unknown
"K16513","H01657",unknown
"K11588","H00440",unknown
"K00237","H00034","germline mutation, LOH"
"K02161","H02434","chromosomal translocation / mutation"
"K10737","H00627",unknown
"K01772","H00201",unknown
"K05094","H00010","translocation"
"K11424","H00010","translocation"
"K18625","H01916",unknown
"K09301","H00727",unknown
"K02833","H00022","activating mutation"
"K01194","H02090",unknown
"K09557","H00595",unknown
"K25094","H00230",unknown
"K17084","H00099",unknown
"K19481","H00500",unknown
"K16478","H00537",unknown
"K08560","H01282",unknown
"K20994","H00551",unknown
"K03103","H00897",unknown
"K04361","H00014","mutation"
"K05099","H00014","mutation"
"K10755","H01439",unknown
"K09385","H00440",unknown
"K00261","H01267",unknown
"K07765","H02517",unknown
"K07298","H00666",unknown
"K13342","H01342",unknown
"K05032","H00512",unknown
"K11540","H00118",unknown
"K12657","H01400",unknown
"K02262","H01368",unknown
"K19532","H00234",unknown
"K06263","H01740",unknown
"K06573","H00428",unknown
"K06643","H00037","amplification"
"K07827","H02410","mutation"
"K05048","H01304",unknown
"K15111","H00891",unknown
"K05430","H00079",unknown
"K00545","H00605",unknown
"K16815","H02201",unknown
"K15164","H00773",unknown
"K24788","H02470",unknown
"K06744","H00080",unknown
"K10186","H00909",unknown
"K03249","H00768",unknown
"K10177","H00637",unknown
"K16681","H00626",unknown
"K20996","H00031","overexpression"
"K10742","H01118",unknown
"K20033","H00267",unknown
"K11876","H02532",unknown
"K00022","H01364",unknown
"K10891","H00238",unknown
"K04739","H02211",unknown
"K06751","H01563","susceptibility"
"K09680","H02209",unknown
"K02318","H00897",unknown
"K10382","H00265",unknown
"K24190","H01202",unknown
"K09561","H01891",unknown
"K08474","H01611","polymorphism"
"K23380","H00686",unknown
"K05644","H00819",unknown
"K09575","H00506",unknown
"K19332","H00261",unknown
"K05083","H00019","overexpression"
"K16059","H02258",unknown
"K02979","H00237",unknown
"K22991","H02470",unknown
"K13348","H00469",unknown
"K04451","H00013","LOH, mutation"
"K16056","H00093",unknown
"K18464","H00266",unknown
"K08009","H00098",unknown
"K07556","H01369",unknown
"K04612","H02026",unknown
"K05448","H01457","polymorphism"
"K13305","H00270",unknown
"K04004","H01726",unknown
"K01148","H00507",unknown
"K05083","H00042",unknown
"K07827","H00026","mutational activation"
"K05061","H00100",unknown
"K15791","H00264",unknown
"K16890","H02435",unknown
"K24063","H00720",unknown
"K10179","H00433",unknown
"K11220","H00089",unknown
"K10396","H00266",unknown
"K02599","H00031","overexpression"
"K12385","H00136",unknown
"K08844","H00057",unknown
"K04358","H01854",unknown
"K03521","H00178",unknown
"K14232","H01356",unknown
"K09261","H02434","mutation"
"K04853","H00481",unknown
"K12495","H02346",unknown
"K13342","H00205",unknown
"K11101","H01667",unknown
"K04707","H02412","mutation"
"K10351","H00292",unknown
"K04365","H01984",unknown
"K03956","H00473",unknown
"K00413","H02086",unknown
"K05470","H01970",unknown
"K06525","H00586",unknown
"K02998","H01435",unknown
"K00249","H00488",unknown
"K19679","H00530",unknown
"K04612","H00808",unknown
"K07367","H00093",unknown
"K04437","H01219",unknown
"K03844","H00118",unknown
"K15279","H00119",unknown
"K06752","H00295","polymorphism"
"K04674","H00801",unknown
"K04380","H00077","mutation"
"K23867","H00883",unknown
"K03917","H00945",unknown
"K06625","H00030","overexpression"
"K25554","H01282",unknown
"K21096","H01360","polymorphism"
"K01195","H00132",unknown
"K04975","H02030",unknown
"K07190","H01948",unknown
"K17442","H01241",unknown
"K09596","H02526",unknown
"K09186","H01879",unknown
"K10373","H00294",unknown
"K19750","H00564",unknown
"K10605","H00027","germline mutation / deletion"
"K05085","H00058",unknown
"K05622","H00737",unknown
"K01900","H00469",unknown
"K14683","H01198",unknown
"K10630","H01744",unknown
"K10149","H00471",unknown
"K02606","H01889",unknown
"K05207","H01891",unknown
"K02085","H00047","mutation"
"K14317","H00003",unknown
"K20068","H00833",unknown
"K04388","H00800",unknown
"K12409","H00596",unknown
"K04712","H00679",unknown
"K07372","H00710",unknown
"K00669","H00689","polymorphism"
"K09501","H00506",unknown
"K08625","H00673",unknown
"K05012","H00214",unknown
"K00700","H01762",unknown
"K04344","H01808",unknown
"K04451","H00055","mutation"
"K12382","H00127",unknown
"K10647","H00480",unknown
"K24768","H02489",unknown
"K14328","H00658",unknown
"K04739","H01431",unknown
"K23846","H00831",unknown
"K13915","H00845",unknown
"K08557","H00455",unknown
"K06255","H02155",unknown
"K05860","H01657",unknown
"K23112","H00577",unknown
"K22235","H02022",unknown
"K17355","H00589",unknown
"K06517","H01008",unknown
"K08558","H00057","mutation"
"K19025","H00266",unknown
"K14576","H00518",unknown
"K20044","H00003",unknown
"K05034","H02361",unknown
"K07361","H02526",unknown
"K06621","H02434","deletion"
"K08959","H00688",unknown
"K24286","H00526",unknown
"K24924","H00987",unknown
"K13823","H00228",unknown
"K15294","H00606",unknown
"K10730","H01734",unknown
"K21852","H00606",unknown
"K10149","H00752",unknown
"K05692","H00604",unknown
"K12185","H00266",unknown
"K10381","H02094",unknown
"K24728","H00632",unknown
"K24309","H02412","mutation"
"K00061","H00825",unknown
"K08555","H00603",unknown
"K01359","H02106",unknown
"K00500","H00167",unknown
"K06759","H01810",unknown
"K08239","H00143",unknown
"K04707","H02410","mutation"
"K07605","H00649",unknown
"K18270","H00792",unknown
"K04180","H01548","susceptibility"
"K05810","H01672",unknown
"K01363","H00932",unknown
"K08071","H00031",unknown
"K04841","H00771",unknown
"K05401","H01563","resistance"
"K14998","H00264",unknown
"K07915","H00481",unknown
"K23309","H02252",unknown
"K10393","H01881",unknown
"K11652","H00606",unknown
"K04451","H01559","mutation"
"K15294","H01773",unknown
"K22530","H00769",unknown
"K14719","H02239",unknown
"K04383","H01492","polymorphism"
"K12604","H00267",unknown
"K00451","H00163",unknown
"K15324","H00897",unknown
"K15592","H00024","translocation"
"K15107","H01819",unknown
"K14165","H00810",unknown
"K04292","H00605",unknown
"K05482","H01360","polymorphism"
"K01824","H02248",unknown
"K17302","H00269",unknown
"K15108","H00990",unknown
"K14427","H00816",unknown
"K07828","H02425","mutation"
"K09330","H00043",unknown
"K00026","H00606",unknown
"K11647","H01402",unknown
"K02261","H01368",unknown
"K13254","H00266",unknown
"K04973","H00524",unknown
"K05012","H00480",unknown
"K18723","H00058",unknown
"K16534","H01649",unknown
"K12876","H01847",unknown
"K05629","H01657",unknown
"K06765","H02450",unknown
"K19879","H00294",unknown
"K15164","H00550",unknown
"K14576","H01967",unknown
"K03858","H01489",unknown
"K12564","H00593",unknown
"K03982","H01106",unknown
"K03937","H01354",unknown
"K08208","H00948",unknown
"K24273","H02411","mutation"
"K24851","H02459",unknown
"K11305","H00773",unknown
"K20909","H01482",unknown
"K07430","H00266",unknown
"K20877","H00537",unknown
"K05119","H01892","translocation"
"K23490","H00235",unknown
"K13511","H00754",unknown
"K02974","H00237",unknown
"K00058","H02117",unknown
"K17425","H00891",unknown
"K09261","H01613","mutation"
"K10175","H01524",unknown
"K05692","H02023",unknown
"K17897","H01736",unknown
"K09407","H00091",unknown
"K07362","H02526",unknown
"K24135","H00264",unknown
"K07374","H00058",unknown
"K24212","H01130",unknown
"K00922","H01431",unknown
"K19404","H00786",unknown
"K22030","H00698",unknown
"K05003","H00803",unknown
"K13344","H01342",unknown
"K15046","H02526",unknown
"K13336","H01342",unknown
"K10838","H00403",unknown
"K24503","H01264",unknown
"K04639","H02434","mutation"
"K23441","H01227","polymorphism"
"K05460","H00605",unknown
"K13758","H00530",unknown
"K05305","H02451",unknown
"K07419","H01143",unknown
"K01835","H00118",unknown
"K19677","H02157",unknown
"K06237","H00582",unknown
"K05480","H00651",unknown
"K17398","H00003","mutation"
"K01444","H00422",unknown
"K17392","H00409","polymorphism"
"K00815","H00165",unknown
"K12313","H00801",unknown
"K04451","H02411","mutation"
"K15516","H01810",unknown
"K23531","H00787",unknown
"K10901","H01346",unknown
"K00236","H01510","mutation"
"K06618","H00048","loss"
"K05003","H00605",unknown
"K10603","H01972",unknown
"K06752","H01502","polymorphism"
"K01316","H00988",unknown
"K18163","H01198",unknown
"K04451","H00048","mutation"
"K07605","H00667",unknown
"K06765","H00044","mutation"
"K16747","H00527",unknown
"K19530","H00832",unknown
"K00497","H00216",unknown
"K14610","H01565",unknown
"K24220","H01229",unknown
"K10352","H00578",unknown
"K12646","H01571",unknown
"K04840","H00606",unknown
"K12614","H02463",unknown
"K00387","H01237",unknown
"K17442","H00607",unknown
"K12959","H00720",unknown
"K06532","H00819",unknown
"K04215","H01611","polymorphism"
"K16681","H01088",unknown
"K03522","H00178",unknown
"K11592","H01431",unknown
"K06052","H00264",unknown
"K11222","H01502","polymorphism"
"K07427","H02107",unknown
"K22870","H00080",unknown
"K04043","H00982",unknown
"K19323","H00063",unknown
"K12804","H00287",unknown
"K17686","H01859",unknown
"K21951","H00867",unknown
"K02213","H01889",unknown
"K23531","H02469",unknown
"K01435","H01182",unknown
"K07828","H00032","mutation"
"K03575","H00018",unknown
"K09267","H00254",unknown
"K04362","H00458",unknown
"K03861","H01489",unknown
"K05087","H00015","expression"
"K11224","H00931",unknown
"K03883","H01355",unknown
"K13525","H00078",unknown
"K23369","H00662",unknown
"K13377","H00431","polymorphism"
"K24178","H01282",unknown
"K11594","H00480",unknown
"K17915","H00261",unknown
"K00485","H01234",unknown
"K12401","H00266",unknown
"K05681","H01532",unknown
"K19500","H01162",unknown
"K07604","H00722",unknown
"K04002","H00106",unknown
"K04550","H00750",unknown
"K10888","H00238",unknown
"K12580","H02371",unknown
"K04447","H02412","mutation"
"K10841","H00627",unknown
"K01321","H00219",unknown
"K04837","H00743",unknown
"K15168","H02483",unknown
"K06770","H02359",unknown
"K01481","H01796",unknown
"K01131","H00134",unknown
"K20072","H02526",unknown
"K00072","H00831",unknown
"K09220","H02526",unknown
"K21421","H00089",unknown
"K05614","H00749",unknown
"K02333","H00469",unknown
"K05061","H02412","mutation"
"K04451","H00036","losses, rearrangements, point mutation"
"K04451","H00046","mutation"
"K08109","H00493",unknown
"K18437","H01431",unknown
"K04506","H02460",unknown
"K08052","H02189",unknown
"K05092","H02411","mutation"
"K00597","H00262",unknown
"K24609","H00753",unknown
"K04664","H00851",unknown
"K05659","H01213",unknown
"K05083","H00027","amplification / overexpression"
"K09345","H01272",unknown
"K12301","H00147",unknown
"K23398","H00590",unknown
"K00717","H02451",unknown
"K09267","H00544",unknown
"K24354","H02134",unknown
"K04838","H00720",unknown
"K09381","H01810",unknown
"K22864","H00530",unknown
"K08055","H00845",unknown
"K13194","H02461",unknown
"K11491","H00269",unknown
"K19985","H01494",unknown
"K24651","H02463",unknown
"K00070","H00216",unknown
"K19673","H00537",unknown
"K11592","H01102",unknown
"K05135","H01227",unknown
"K00237","H02538",unknown
"K09087","H00517",unknown
"K06499","H00604",unknown
"K03161","H00086",unknown
"K05666","H02056",unknown
"K23456","H02185",unknown
"K00025","H00606",unknown
"K25217","H02333",unknown
"K06521","H00481",unknown
